S,Q5,Q10,Q25,Q50,Q100,Q500
17000,0.59783,0.63299,0.693147,0.773302,1.28248,1.9419
17100,0.5919,0.626558,0.68571,0.76486,1.2664,1.91629
17200,0.58597,0.620126,0.678273,0.756418,1.25032,1.89068
17300,0.58004,0.613694,0.670836,0.747976,1.23424,1.86507
17400,0.57411,0.607262,0.663399,0.739534,1.21816,1.83946
17500,0.56818,0.60083,0.655962,0.731092,1.20208,1.81385
17600,0.56225,0.594398,0.648525,0.72265,1.186,1.78824
17700,0.55632,0.587966,0.641088,0.714208,1.16992,1.76263
17800,0.55039,0.581534,0.633651,0.705766,1.15384,1.73702
17900,0.54446,0.575102,0.626214,0.697324,1.13776,1.71141
18000,0.53853,0.56867,0.618777,0.688882,1.12168,1.6858
18100,0.5326,0.562238,0.61134,0.68044,1.1056,1.66019
18200,0.52667,0.555806,0.603903,0.671998,1.08952,1.63458
18300,0.52074,0.549374,0.596466,0.663556,1.07344,1.60897
18400,0.51481,0.542942,0.589029,0.655114,1.05736,1.58336
18500,0.50888,0.53651,0.581592,0.646672,1.04128,1.55775
18600,0.50295,0.530078,0.574155,0.63823,1.0252,1.53214
18700,0.49702,0.523646,0.566718,0.629788,1.00912,1.50653
18800,0.49109,0.517214,0.559281,0.621346,0.99304,1.48092
18900,0.48516,0.510782,0.551844,0.612904,0.97696,1.45531
19000,0.47923,0.50435,0.544407,0.604462,0.96088,1.4297
19100,0.4733,0.497918,0.53697,0.59602,0.9448,1.40409
19200,0.46737,0.491486,0.529533,0.587578,0.92872,1.37848
19300,0.46144,0.485054,0.522096,0.579136,0.91264,1.35287
19400,0.45551,0.478622,0.514659,0.570694,0.89656,1.32726
19500,0.44958,0.47219,0.507222,0.562252,0.88048,1.30165
19600,0.44365,0.465758,0.499785,0.55381,0.8644,1.27604
19700,0.43772,0.459326,0.492348,0.545368,0.84832,1.25043
19800,0.43179,0.452894,0.484911,0.536926,0.83224,1.22482
19900,0.42586,0.446462,0.477474,0.528484,0.81616,1.19921
20000,0.41993,0.44003,0.470037,0.520042,0.80008,1.1736
